Campaign Name,Ad Group Name,SKU,Keyword,Match Type,Bid
SP - Manual - Silicon Spatula Set - KW Discovery,Broad Match,SIL-SPAT-001,silicon spatula,Broad,1.45
SP - Manual - Silicon Spatula Set - KW Discovery,Broad Match,SIL-SPAT-001,spatula set,Broad,1.62
SP - Manual - Silicon Spatula Set - KW Discovery,Broad Match,SIL-SPAT-001,kitchen utensils,Broad,1.10
SP - Manual - Silicon Spatula Set - KW Discovery,Broad Match,SIL-SPAT-001,cooking spatula,Broad,1.35
SP - Manual - Silicon Spatula Set - KW Discovery,Broad Match,SIL-SPAT-001,heat resistant spatula,Broad,1.75
SP - Manual - Silicon Spatula Set - KW Discovery,Broad Match,SIL-SPAT-001,baking spatula,Broad,0.95
SP - Manual - Silicon Spatula Set - KW Discovery,Broad Match,SIL-SPAT-001,silicone spoon,Broad,1.25
SP - Manual - Silicon Spatula Set - KW Discovery,Broad Match,SIL-SPAT-001,rubber spatula,Broad,1.15
SP - Manual - Silicon Spatula Set - KW Discovery,Broad Match,SIL-SPAT-001,best spatula for cooking,Broad,1.55
SP - Manual - Silicon Spatula Set - KW Discovery,Broad Match,SIL-SPAT-001,kitchen gadgets,Broad,0.85
SP - Manual - Silicon Spatula Set - KW Discovery,Broad Match,SIL-SPAT-001,cooking utensils set,Broad,1.40
SP - Manual - Silicon Spatula Set - KW Discovery,Broad Match,SIL-SPAT-001,spatula for non stick pans,Broad,1.65
SP - Manual - Silicon Spatula Set - KW Discovery,Broad Match,SIL-SPAT-001,oxo spatula,Broad,1.30
SP - Manual - Silicon Spatula Set - KW Discovery,Broad Match,SIL-SPAT-001,kitchen aid spatula,Broad,1.20
SP - Manual - Silicon Spatula Set - KW Discovery,Broad Match,SIL-SPAT-001,di oro spatula,Broad,1.50
SP - Manual - Silicon Spatula Set - KW Discovery,Broad Match,SIL-SPAT-001,gorilla grip spatula,Broad,1.45
SP - Manual - Silicon Spatula Set - KW Discovery,Broad Match,SIL-SPAT-001,large spatula,Broad,1.10
SP - Manual - Silicon Spatula Set - KW Discovery,Broad Match,SIL-SPAT-001,small spatula,Broad,0.90
SP - Manual - Silicon Spatula Set - KW Discovery,Broad Match,SIL-SPAT-001,cake spatula,Broad,1.05
SP - Manual - Silicon Spatula Set - KW Discovery,Broad Match,SIL-SPAT-001,mixing spatula,Broad,1.15
SP - Manual - Silicon Spatula Set - KW Discovery,Broad Match,SIL-SPAT-001,scrapers kitchen,Broad,0.95
SP - Manual - Silicon Spatula Set - KW Discovery,Broad Match,SIL-SPAT-001,silicone scraper,Broad,1.00
SP - Manual - Silicon Spatula Set - KW Discovery,Broad Match,SIL-SPAT-001,flexible spatula,Broad,1.25
SP - Manual - Silicon Spatula Set - KW Discovery,Broad Match,SIL-SPAT-001,spatula heat resistant 600 degrees,Broad,1.80
